Date,PS3 player count,PS4 player count,PS Vita player count
2013-08-27,0,0,0
2013-08-28,200,0,0
2013-08-29,400,0,200
2013-08-30,400,0,400
2013-08-31,700,0,700
2013-09-01,900,0,800
2013-09-02,1000,0,900
2013-09-03,1200,0,900
2013-09-04,1600,0,900
2013-09-05,1800,0,900
2013-09-06,2100,0,1100
2013-09-07,2500,0,1200
2013-09-08,2700,0,1300
2013-09-09,3000,0,1400
2013-09-10,3300,0,1400
2013-09-11,3400,0,1600
2013-09-12,3800,0,1800
2013-09-13,4000,0,1900
2013-09-14,4100,0,2100
2013-09-15,4300,0,2100
2013-09-16,4600,0,2200
2013-09-17,4600,0,2600
2013-09-18,4900,0,2700
2013-09-19,5000,0,2800
2013-09-20,5000,0,2900
2013-09-21,5000,0,2900
2013-09-22,5100,0,3100
2013-09-23,5100,0,3100
2013-09-24,5200,0,3300
2013-09-25,5200,0,3400
2013-09-26,5400,0,3400
2013-09-27,5500,0,3400
2013-09-28,5600,0,3500
2013-09-29,5800,0,3500
2013-09-30,5900,0,3500
2013-10-01,6000,0,3500
2013-10-02,6000,0,3600
2013-10-03,6000,0,3700
2013-10-04,6000,0,3700
2013-10-05,6200,0,3900
2013-10-06,6400,0,4000
2013-10-07,6600,0,4000
2013-10-08,6600,0,4000
2013-10-09,6600,0,4100
2013-10-10,6800,0,4200
2013-10-11,6800,0,4300
2013-10-12,6900,0,4300
2013-10-13,7000,0,4500
2013-10-14,7000,0,4600
2013-10-15,7100,0,4600
2013-10-16,7100,0,4700
2013-10-17,7200,0,4700
2013-10-18,7400,0,4700
2013-10-19,7400,0,4700
2013-10-20,7500,0,4900
2013-10-21,7700,0,4900
2013-10-22,7800,0,4900
2013-10-23,7900,0,5300
2013-10-24,8000,0,5300
2013-10-25,8100,0,5400
2013-10-26,8200,0,5400
2013-10-27,8200,0,5400
2013-10-28,8400,0,5400
2013-10-29,8400,0,5400
2013-10-30,8400,0,5400
2013-10-31,8500,0,5400
2013-11-01,8500,0,5400
2013-11-02,8600,0,5500
2013-11-03,8600,0,5500
2013-11-04,8800,0,5600
2013-11-05,8800,0,5600
2013-11-06,8800,0,5700
2013-11-07,8800,0,5700
2013-11-08,9000,0,5700
2013-11-09,9100,0,5700
2013-11-10,9300,0,5700
2013-11-11,9300,0,5800
2013-11-12,9300,0,5800
2013-11-13,9400,0,5900
2013-11-14,9400,0,6000
2013-11-15,9400,0,6000
2013-11-16,9500,0,6200
2013-11-17,9600,0,6200
2013-11-18,9600,0,6200
2013-11-19,9600,0,6200
2013-11-20,9700,0,6400
2013-11-21,9700,0,6400
2013-11-22,9700,0,6500
2013-11-23,9800,0,6500
2013-11-24,9900,0,6600
2013-11-25,9900,0,6600
2013-11-26,10000,0,6700
2013-11-27,10100,0,6700
2013-11-28,10400,0,6800
2013-11-29,10400,0,6800
2013-11-30,10400,0,6800
2013-12-01,10400,0,6900
2013-12-02,10400,0,6900
2013-12-03,10400,0,6900
2013-12-04,10500,0,7000
2013-12-05,10700,0,7100
2013-12-06,10700,0,7100
2013-12-07,10800,0,7200
2013-12-08,10800,0,7300
2013-12-09,10800,0,7300
2013-12-10,11000,0,7300
2013-12-11,11400,0,7700
2013-12-12,11700,0,7800
2013-12-13,12500,0,7900
2013-12-14,13000,0,8400
2013-12-15,13500,0,8500
2013-12-16,13900,100,8700
2013-12-17,14300,100,8900
2013-12-18,14700,100,9000
2013-12-19,15200,100,9100
2013-12-20,15300,100,9200
2013-12-21,15600,200,9200
2013-12-22,16100,200,9200
2013-12-23,16200,200,9200
2013-12-24,16400,200,9300
2013-12-25,16800,300,9500
2013-12-26,16900,300,9600
2013-12-27,17300,300,9600
2013-12-28,17500,300,9600
2013-12-29,17500,300,9600
